ECE 111,ECE 112,ECE 114,ECE 121,ECE 122,ECE 131,ECE 132,ECE 133,ECE 141,ECE 143,ECE 142,ECE 146,ECE 152,ECE 153,ECE 156,ECE 151,ECE 154,ECE 158,ECE 155,ECE 162,ECE 160,ECE 163,ECE 164,ECE 166,ECE 168,ECE 202,ECE 167,SUB1,SUB2,SUB3,SUB4,PERFORMANCE
2.75,2.65,2.75,2,2.4,2.35,2.95,2.5,2,5,3,2.25,2.75,3,3,3,2.75,2.75,2.5,3,2.75,2.25,2.5,2.1,2.2,1.7,3,1,0,1,1,0
2.4,2.85,2.75,1.8,2.35,2.2,2.5,2.25,1.85,3.75,2.3,2.25,2.75,2.5,2.25,2.25,2.35,3,2.25,5,2.25,2.5,2.5,2,2,2.5,3,0,0,0,0,0
2.85,2.8,2.65,2.05,2.6,2.3,3,2.25,2.65,3.3,2.2,1.75,2.75,2.6,2.75,3,2.4,2.5,3,3,2.75,2,2.25,2.25,2.25,1.75,2.75,1,0,0,1,0
2.75,5,2.25,1.9,2,2.05,2.25,1.5,1.5,2.5,2,1.5,2.5,2.25,1.5,2,2.75,2.25,1.75,2.5,2,2,2,1.5,1.5,2.25,2,1,1,1,1,1
2.6,2.7,2.2,1.9,1.85,1.9,3,1.75,2.1,2.55,2.5,1.9,1.95,2.75,2.5,2.35,2.1,3,2.5,2.25,2.75,2.25,2,2,2,1.5,2.75,1,1,1,1,1
2,3,2.25,2.05,1.9,2.05,2.5,2.5,2,2.75,2.75,2,2.5,2.5,3,2.25,2.25,2.5,2.25,2.75,2.25,2.5,2.25,2,2,2.5,3,1,1,1,1,1
2.9,2.65,2.6,2.1,2.65,2.1,3,2.2,2.45,3.25,2.3,1.6,3,2.9,2.5,2.6,2.35,2.75,2.4,2.5,2.85,2,2.25,2,2,2,2.45,1,0,1,1,0
3,3.2,2.25,2,2.5,2.15,2.75,2.25,1.75,2.6,2.25,1.75,2.5,2.75,2,2.5,3,2.25,2,2.75,2.25,2.25,2,1.75,1.75,2.5,2.5,1,1,1,1,1
2.75,2.75,2.5,2.15,2.05,1.95,2.75,1.75,1.5,2.5,2.25,1.75,2,2.25,2.25,2.25,2.5,2.25,1.75,2.5,2,2,2,1.75,2,2.5,2.25,1,1,1,1,1
2.8,2.7,2.45,1.95,2.6,2.35,2.75,2.25,2.4,2.8,2.05,1.7,2.65,2.75,2,2.7,2.2,2.65,2.25,2.75,2.4,2.25,2.25,2.5,2.5,2,3,0,0,1,1,0
2.75,2.8,2.75,2,2.4,1.85,2.75,2.25,2.65,2.4,2.25,1.25,2.5,5,2.5,1.75,2,3,1.75,2.5,5,2.25,2.75,2,2,1.25,2.5,1,1,1,1,1
2.85,2.9,2.75,1.85,2.6,2,2.9,2.25,2.8,2.55,2.1,1.5,2.75,3.2,2.35,3,2,2.7,2.5,2.85,2.75,2.2,2.2,2.35,2.3,1.9,2.85,0,1,1,1,0
2.75,2.85,3,2,2.2,2.05,2.25,2,1.75,2.75,2.6,1.75,2.5,2.75,2.25,2,2,3,2,3,2.25,2,2.5,2.25,2.25,1.25,2.5,1,1,1,1,1
2.25,2.65,1.75,2.25,2.7,1.95,2.5,2.5,2.75,2.75,2.75,2.5,1.75,2.5,2.75,2.5,2.5,2.5,2.75,3,2.5,2.5,2,2.5,2,2.5,3,1,0,0,1,0
2.8,2.85,2.45,2.1,2.15,2.1,2.75,2,2.05,2.5,2.4,1.95,2.3,2.7,2.25,2.4,2.25,3,2.5,2.75,2,2.25,2.25,2,2,2,2.75,1,1,1,1,1
2.75,5,2.5,2.05,2,2.15,2.5,1.5,1.75,2.5,2.5,1.75,2.25,3,1.75,2.75,2.5,2.5,2,2.75,2.25,2.25,2.25,2,2,2.5,2,0,0,0,0,0
2.25,2.95,2,2,2.5,2.15,2.5,2.5,2,3,2.75,2.25,2.5,2.5,3,2.5,2.35,2.5,2.25,3,2.5,2.25,2.5,2.25,2.25,2.5,3,1,0,0,0,0
2.5,3.25,1.25,2.15,1.6,1.85,2.25,1.75,1.55,2.5,2.35,1.75,1.75,2,1.75,2.2,2.5,2.25,2.5,2.25,2.25,2.25,1.75,1.75,1.75,2.75,2.25,1,1,1,1,1
1.75,3,1.5,2.05,1.9,1.9,2.25,2.25,1.25,2.75,2.5,2.25,2,2.25,2.25,2.25,2.75,2.25,2.25,2.5,2,2,2,1.75,1.75,2.5,2.25,1,1,1,1,1
2.75,5,2.25,2.1,1.75,2.05,2.25,1.5,1.5,2.5,2,1.5,2.5,2.25,1.5,2,2.75,2.25,1.75,2.5,2,2,2,1.5,1.5,2.25,2,1,1,1,0,0
2.45,2.9,2.35,2.15,2.6,1.9,2.75,2.95,2.35,2.75,2.5,1.8,2.6,2.6,5,2.6,2,2.65,2.35,3,2.3,2.75,2.5,2.75,2.75,2,2.55,1,0,0,0,0
2,3,2.25,2,2.55,2.15,2.5,2.5,2,2.75,2.75,2,2.5,2.5,3,2.25,2.25,2.5,2.25,2.75,2.25,2.5,2.25,2,2,2.5,3,1,0,1,1,0
2.6,2.7,3,1.75,1.95,1.85,2.5,2,2.1,2.7,2.5,1.75,2.5,2.25,2.25,1.5,1.75,3,2,2.25,2,2,2.75,2.25,2.25,1,2.5,1,1,1,1,1
2.25,2.75,1.75,2.05,1.95,2.05,2.25,1.5,1.25,2.25,2,2,2,2.25,1.5,2,2.5,2.5,1.75,2.5,2.25,2.25,2.25,1.5,1.75,2.5,2.25,1,1,1,1,1
2.75,3.2,2.75,2.05,1.95,2,2.25,2,1.8,2.7,2.25,2.25,2.5,2,1.75,1.75,1.85,2.75,1.75,2.75,1.5,2,2.5,2,2.25,1.25,2.5,0,1,1,1,0
2.9,2.65,2.6,2.1,2.65,2.1,3,2.2,2.45,3.25,2.3,1.6,3,2.9,2.5,2.6,2.35,2.75,2.4,2.5,2.85,2,2.25,2,2,2,2.45,1,0,1,1,0
3,3.2,2.25,2,2.5,2.15,2.75,2.25,1.7,2.65,2.25,1.75,2.5,2.75,2,2.5,3,2.25,2,2.75,2.25,2.25,2,1.75,1.75,2.5,2.5,0,0,0,1,0
3,2.85,2.25,2.15,1.9,2,2.25,2.25,2.25,2.5,3,1.75,2.25,2.5,2.25,2.5,2.5,2.5,2.25,2.75,2.25,2,2.25,2,2,2.5,2.5,1,1,1,1,1
2.75,2.75,2.5,2.15,2.65,2,2.75,1.75,1.5,2.5,2.25,1.75,2,2.25,2.25,2.25,2.5,2.25,1.75,2.5,2,2,2,1.75,2,2.5,2.25,1,0,1,1,0
2.6,2.7,2.25,2.05,1.75,1.9,2.75,1.75,2.25,2.5,2.4,1.5,1.5,3,1.75,2,1.75,2.75,2.25,2.25,2,2.5,2.25,1.75,2.5,1,2.5,1,1,1,1,1
2.7,2.8,2.75,2.05,2.45,2,2.75,2.25,2.65,2.45,2.25,1.25,2.5,5,2.5,1.75,2,3,1.75,2.5,5,2.25,2.75,2,2,1.25,2.5,1,0,1,1,0
2.45,2.8,2.2,2,2.15,2.05,3,2.5,2.25,3.2,2.65,2.2,2.25,2.6,3,2.7,2.1,2.5,2.5,3,2.5,3,2.5,2.5,2.5,1.75,2.5,1,1,1,1,1
2.7,2.7,2.6,2.05,2.6,2.25,2.75,2,2.5,3.25,1.95,1.85,3.15,2.55,2.25,2.8,2.25,3,2.5,2.75,2,2.25,2.25,2,2,2,2.75,0,1,1,1,0
2.75,2.7,2.75,2.15,1.75,1.8,2.5,1.5,2.3,2.6,2.25,1.75,2,2.5,1.5,1.75,1.75,3,2,2.5,1.75,2.5,2.5,2,2.5,1.25,2.75,1,1,1,1,1
2.75,2.7,2.5,1.95,1.9,1.85,2.75,2.25,1.95,3.65,2.75,2.1,2.5,2.9,2.75,2.75,2.25,3,2.75,3,2.75,2.75,3,2.5,2.5,1.75,3,1,1,1,1,1
