ECE 111,ECE 112,ECE 114,ECE 121,ECE 122,ECE 131,ECE 132,ECE 133,ECE 141,ECE 143,ECE 142,ECE 146,ECE 152,ECE 153,ECE 156,ECE 151,ECE 154,ECE 158,ECE 155,ECE 162,ECE 160,ECE 163,ECE 164,ECE 166,ECE 168,ECE 202,ECE 167,MATAVE,GENENGAVE,ELECENGAVE,ELECSYSAVE,NATSCIAVE,BASENSCIAVE,ALCOUAVE,PROAVE,PERFORMANCE
2.75,3.0,2.5,2.0,2.75,2.75,3.0,3.0,2.75,3.0,1.75,2.25,2.25,2.75,3.0,2.75,2.0,3.0,2.5,2.5,2.5,2.5,3.0,2.25,2.25,2.0,1.75,2.7,2.625,2.375,2.666666667,2.375,2.916666667,2.4375,2.517857143,1
3.0,2.8,2.5,1.95,2.35,2.25,2.0,2.5,1.95,3.0,2.25,2.5,3.0,3.0,1.75,3.0,2.45,3.0,2.75,2.75,3.0,2.75,2.5,2.0,2.0,1.5,2.75,2.76,2.25,2.825,2.833333333,2.15,2.25,2.425,2.532142857,0
3.0,2.75,2.75,1.75,2.5,2.25,2.8,2.25,2.75,3.0,1.75,1.75,2.75,2.75,2.25,3.0,2.45,2.65,2.45,3.0,2.5,2.5,2.0,2.25,2.25,2.25,2.75,2.65,2.305,2.658333333,2.7,2.125,2.433333333,2.3125,2.503571429,0
2.5,2.75,2.75,1.75,2.25,2.25,2.75,2.0,1.75,5.0,2.0,2.25,2.75,3.0,2.0,2.5,2.45,2.65,2.25,5.0,2.75,2.5,1.75,1.75,2.0,2.0,2.5,2.5,2.4,2.616666667,3.3,2.0,2.333333333,2.75,2.525,0
2.75,3.0,2.75,2.0,2.75,2.0,2.5,2.25,3.0,2.25,2.25,1.75,3.0,5.0,2.25,2.75,2.6,2.9,2.55,3.0,3.0,2.5,2.0,2.0,2.0,2.0,1.75,2.7,2.3,2.933333333,2.816666667,2.375,2.25,2.3125,2.682142857,0
2.5,2.75,2.5,2.0,2.25,2.0,2.7,2.25,1.75,2.75,2.0,2.0,2.5,2.75,2.0,2.75,2.65,2.5,2.15,3.0,2.5,2.25,2.0,2.0,2.0,2.25,3.0,2.45,2.17,2.65,2.55,2.125,2.316666667,2.125,2.378571429,1
2.75,2.25,2.5,2.25,2.75,1.75,3.0,2.5,3.0,2.25,2.5,2.5,2.5,3.0,2.5,3.0,2.75,3.0,2.5,3.0,2.0,2.5,2.0,2.5,1.75,2.25,1.75,2.4,2.5,2.5,2.833333333,2.5,2.416666667,2.5625,2.517857143,0
2.25,2.25,2.0,2.25,3.0,2.0,2.5,2.0,2.0,2.75,2.25,1.75,2.4,3.3,2.0,2.75,2.5,3.0,2.5,2.25,2.0,2.0,3.0,2.5,2.25,2.25,1.75,2.38,2.25,2.383333333,2.583333333,2.625,2.166666667,2.1875,2.478571429,0
3.0,2.5,3.0,2.25,2.75,2.75,3.0,2.25,3.0,2.75,2.0,2.25,2.85,3.2,2.25,3.0,3.0,3.0,2.5,2.75,2.5,3.0,2.25,2.2,2.25,2.25,1.75,2.72,2.525,2.741666667,2.75,2.5,2.666666667,2.5,2.642857143,0
2.75,3.0,2.75,2.0,2.5,2.0,3.3,2.25,2.75,2.25,2.75,2.25,2.75,2.75,2.5,3.0,2.25,2.6,5.0,2.75,2.75,2.25,2.75,2.25,2.25,1.25,2.25,2.8,2.455,2.541666667,3.45,2.25,2.516666667,2.5,2.65,0
2.75,3.0,2.5,2.0,2.75,2.75,3.0,5.0,2.75,3.0,1.75,2.25,2.25,2.75,3.0,2.75,2.0,3.0,2.5,2.5,2.5,2.5,3.0,2.25,2.25,2.0,1.75,2.7,2.825,2.375,2.666666667,2.375,3.583333333,2.4375,2.517857143,0
3.0,2.8,2.5,1.95,2.35,2.25,2.0,2.5,1.95,3.0,2.25,2.5,3.0,3.0,1.75,3.0,2.45,3.0,2.75,2.75,3.0,2.75,2.5,2.0,2.0,1.5,2.75,2.76,2.25,2.825,2.833333333,2.15,2.25,2.425,2.532142857,0
2.5,2.75,2.75,1.75,2.25,2.25,2.75,2.0,1.75,5.0,2.0,2.25,2.75,3.0,2.0,2.5,2.45,2.65,2.25,5.0,2.75,2.5,1.75,1.75,2.0,2.0,2.5,2.5,2.4,2.616666667,3.3,2.0,2.333333333,2.75,2.525,0
3.0,2.75,3.0,2.25,2.75,2.75,3.0,2.0,2.75,3.0,2.25,2.0,2.7,2.5,2.5,3.0,3.0,3.0,3.0,3.0,2.5,2.25,2.25,2.0,2.25,2.25,2.0,2.74,2.525,2.541666667,3.0,2.5,2.583333333,2.5,2.585714286,0
2.5,2.75,2.5,2.0,2.25,2.0,2.65,2.25,1.75,2.75,2.0,2.0,2.5,2.75,2.0,2.5,2.6,2.6,2.15,3.0,2.5,2.25,2.0,2.0,2.0,2.25,3.0,2.45,2.165,2.6,2.583333333,2.125,2.3,2.125,2.364285714,0
3.0,2.0,3.0,2.0,2.75,1.75,2.75,2.5,2.75,3.0,2.25,2.25,2.75,3.0,2.5,3.0,2.5,3.0,2.75,3.0,2.25,1.75,2.25,2.25,2.25,2.25,2.0,2.6,2.45,2.416666667,2.916666667,2.375,2.333333333,2.5625,2.535714286,0
2.5,2.25,2.75,1.75,2.5,1.75,2.5,2.5,2.75,2.5,1.75,2.25,2.5,5.0,2.5,2.5,2.25,2.75,2.5,2.25,2.75,2.0,3.0,2.25,2.25,2.0,2.0,2.6,2.275,2.75,2.5,2.125,2.25,2.3125,2.607142857,1
2.75,2.25,2.5,2.25,2.75,1.75,3.0,2.5,3.0,2.25,2.5,2.5,2.5,3.0,2.5,3.0,2.75,3.0,2.5,3.0,2.0,2.5,2.0,2.5,1.75,2.25,1.75,2.4,2.5,2.5,2.833333333,2.5,2.416666667,2.5625,2.517857143,0
2.25,2.25,2.0,2.25,3.0,2.0,2.5,2.0,2.0,2.75,2.25,1.75,2.4,3.3,2.0,2.75,2.5,3.0,2.5,2.25,2.0,2.0,3.0,2.5,2.25,2.25,1.75,2.38,2.25,2.383333333,2.583333333,2.625,2.166666667,2.1875,2.478571429,0
3.0,2.5,3.0,2.25,2.75,2.75,3.0,2.25,3.0,2.75,2.0,2.25,2.85,3.2,2.25,3.0,3.0,3.0,2.5,2.75,2.5,3.0,2.25,2.2,2.25,2.25,1.75,2.72,2.525,2.741666667,2.75,2.5,2.666666667,2.5,2.642857143,0
2.75,3.0,2.75,2.0,2.5,2.0,3.3,2.25,2.75,2.25,2.75,2.25,2.75,2.75,2.5,3.0,2.25,2.6,5.0,2.75,2.75,2.25,2.75,2.25,2.25,1.25,2.25,2.8,2.455,2.541666667,3.45,2.25,2.516666667,2.5,2.65,0
